especie,localidade,uf,pais,lat,long
Bothrops erythromelas,Paulo Afonso,BA,Brasil,-9.404139,-38.134633
Bothrops erythromelas,Paulo Afonso,BA,Brasil,-9.404139,-38.134633
Bothrops erythromelas,Parna Serra da capivara,PI,Brasil,-8.414300,-42.351056
Bothrops erythromelas,ESESC Serido,RN,Brasil,-6.344364,-37.150253
Bothrops erythromelas,ESESC Serido,RN,Brasil,-6.344364,-37.150253
Bothrops erythromelas,Palmeira,BA,Brasil,-12.305275,-41.344138
Bothrops erythromelas,Palmeira,BA,Brasil,-12.305275,-41.344138
Bothrops erythromelas,Palmeira,BA,Brasil,-12.305275,-41.344138
Bothrops erythromelas,São Bento do Norte,RN,Brasil,-5.034973,-36.023233
Bothrops erythromelas,Buíque,PE,Brasil,-8.371550,-37.092598
Bothrops erythromelas,Buíque,PE,Brasil,-8.371550,-37.092598
Bothrops erythromelas,Buíque,PE,Brasil,-8.371550,-37.092598 
Bothrops erythromelas,Buíque,PE,Brasil,-8.371550,-37.092598
Bothrops erythromelas,Buíque,PE,Brasil,-8.371550,-37.092598
Bothrops erythromelas,Buíque,PE,Brasil,-8.371550,-37.092598
Bothrops erythromelas,João Câmara,RN,Brasil,-5.321222,-35.485077
Bothrops erythromelas,Itau,RN,Brasil,-5.837904,-37.985389
Bothrops erythromelas,Queimada Nova,PI,Brasil,-8.579173,-41.422990
Bothrops erythromelas,Serra Negra,RN,Brasil,-6.663119,-37.390598
Bothrops erythromelas,Rio do Fogo,RN,Brasil,-5.162947,-35.225729
Bothrops erythromelas,Ubajara,CE,Brasil,-3.511241,-40.550686
Bothrops erythromelas,Umburanas ,BA,Brasil,-10.434351,-41.191936
Bothrops erythromelas,Jardim de Piranhas,RN,Brasil,-6.224560,-37.210166
Bothrops erythromelas,Potiretama,CE,Brasil,-5.432169,-38.091479
Bothrops erythromelas,Potiretama,CE,Brasil,-5.432169,-38.091479
Bothrops erythromelas,Potiretama,CE,Brasil,-5.432169,-38.091479
Bothrops erythromelas,Angicos,RN,Brasil,-5.394656,-36.360322
Bothrops erythromelas,Potiretama,CE,Brasil,-5.432169,-38.091479
Bothrops erythromelas,Jardim de Piranhas,RN,Brasil,-6.224560,-37.210166
Bothrops erythromelas,Macau,RN,Brasil,-5.064803,-36.380798
Bothrops erythromelas,Santo Inácio,BA,Brasil,-11.063797,-42.431337
Bothrops erythromelas,Alagoado,BA,Brasil,-12.164152,-42.152343
Bothrops erythromelas,Santo Inácio,BA,Brasil,-11.063797,-42.431337
Bothrops erythromelas,Alagoado,BA,Brasil,-12.164152,-42.152343
Bothrops erythromelas,Morro do Chapéu,BA,Brasil,-11.325733,-41.092616
Bothrops erythromelas,Campo Famoso,BA,Brasil,-10.303090,-40.192084
Bothrops erythromelas,Parna Serra da capivara,PI,Brasil,-8.414300,-42.351056
Bothrops erythromelas,Parna Serra da capivara,PI,Brasil,-8.414300,-42.351056
Bothrops erythromelas,Condeuba,BA,Brasil,-14.540802,-41.581858
Bothrops erythromelas,Alagoado,BA,Brasil,-12.164152,-42.152343
Bothrops lutzi,EESGT,TO,Brasil,-11.243555,-48.430891
Bothrops lutzi,EESGT,TO,Brasil,-11.243555,-48.430891
Bothrops lutzi,"Jaborandi, RVS Veredas",BA,Brasil,-13.372439,-44.280024
Bothrops erythromelas,UHE Xingó - Canindé de São Francisco,SE,Brasil,-9.372885,-37.475000
Bothrops erythromelas,UHE Xingó - Canindé de São Francisco,SE,Brasil,-9.372885,-37.475000
Bothrops erythromelas,Ibitira,BA,Brasil,-14.161089,-41.592837
Bothrops erythromelas,Caculé,BA,Brasil,-14.295666,-42.132388
Bothrops erythromelas,João Câmara,RN,Brasil,-5.321222,-35.485077
Bothrops erythromelas,João Câmara,RN,Brasil,-5.321222,-35.485077
Bothrops erythromelas,Lajes,RN,Brasil,-5.420507,-36.144639
Bothrops erythromelas,Angicos,RN,Brasil,-5.394656,-36.360322
Bothrops erythromelas,Angicos,RN,Brasil,-5.394656,-36.360322
Bothrops erythromelas,Angicos,RN,Brasil,-5.394656,-36.360322
Bothrops erythromelas,Lajes,RN,Brasil,-5.420507,-36.144639
Bothrops erythromelas,Tanhaçu,BA,Brasil,-14.011078,-41.145018
Bothrops erythromelas,Boa Vista,PB,Brasil,-6.443614,-38.273647
Bothrops erythromelas,Angicos,RN,Brasil,-5.394656,-36.360322
Bothrops lutzi,Gilbués,PI,Brasil,-9.494638,-45.202038
Bothrops lutzi,Gilbués,PI,Brasil,-9.494638,-45.202038
Bothrops lutzi,Gilbués,PI,Brasil,-9.494638,-45.202038
Bothrops lutzi,Gilbués,PI,Brasil,-9.494638,-45.202038
Bothrops lutzi,Joaquim Felício,MG,Brasil,-17.453688,-44.101259
Bothrops erythromelas,ESESC Serido,RN,Brasil,-6.344364,-37.150253
Bothrops erythromelas,ESESC Serido,RN,Brasil,-6.344364,-37.150253
Bothrops erythromelas,Guamaré,RN,Brasil,-5.062736,-36.191092
Bothrops erythromelas,Santa Cruz,RN,Brasil,-6.132911,-36.010947
Bothrops erythromelas,Tabocas do Brejo Velho,BA,Brasil,-12.421176,-44.002913
